,Institute,Academic Program Name,Seat Type,Gender,Opening Rank,Closing Rank,Year
4625,Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,24,115,2016
4626,Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,124,186,2016
4627,Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,80,403,2016
4628,Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,549,999,2016
4629,Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1074,2809,2016
4630,Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,250,397,2016
4631,Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,390,477,2016
4632,Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,247,907,2016
4633,Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1036,2526,2016
4634,Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2826,5431,2016
4635,Indian Institute of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4626,6561,2016
4636,Indian Institute of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,933,1411,2016
4637,Indian Institute of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1730,3577,2016
4638,Indian Institute of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3432,4434,2016
4639,Indian Institute of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,6082,7732,2016
4640,Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2864,3497,2016
4641,Indian Institute of Technology Kharagpur,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,2938,4033,2016
4642,Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4321,6312,2016
4643,Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,6306,7455,2016
4644,Indian Institute of Technology Kharagpur,"Applied Geology (5 Years, Integrated Master of Science)",OPEN,Gender-Neutral,6645,8658,2016
4645,Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",OPEN,Gender-Neutral,5783,10310,2016
4646,Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,4183,5437,2016
4647,Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,5556,6904,2016
4648,Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1906,2965,2016
4649,Indian Institute of Technology Kharagpur,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,3009,3606,2016
4650,Indian Institute of Technology Kharagpur,"Chemistry (5 Years, Integrated Master of Science)",OPEN,Gender-Neutral,3979,8727,2016
4651,Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2728,3788,2016
4652,Indian Institute of Technology Kharagpur,"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,3559,4158,2016
4653,Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,181,286,2016
4654,Indian Institute of Technology Kharagpur,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,284,389,2016
4655,Indian Institute of Technology Kharagpur,"Economics (5 Years, Integrated Master of Science)",OPEN,Gender-Neutral,2779,4128,2016
4656,Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,138,1190,2016
4657,Indian Institute of Technology Kharagpur,"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,1288,1556,2016
4658,Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,329,890,2016
4659,Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,915,1320,2016
4660,Indian Institute of Technology Kharagpur,"Exploration Geophysics (5 Years, Integrated Master of Science)",OPEN,Gender-Neutral,5566,7242,2016
4661,Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2819,3442,2016
4662,Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,3492,4563,2016
4663,Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1663,2623,2016
4664,Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,2420,3759,2016
